"","propNull","expectedSampleAlt","expectedSampleNull","typeIError","power","trialSize"
"1",0,157.665202537823,244,0,0.999837319017407,244
"2",0.03,184.41906621116,243.933150684932,0.0164383561643836,0.971042785098422,244
"3",0.06,200.395965511632,243.532054794521,0.0257534246575342,0.9123149503823,244
"4",0.09,209.088986497478,243.665753424658,0.0224657534246575,0.846591833414674,244
"5",0.12,214.527086383602,243.197808219178,0.0301369863013699,0.795672685863023,244
"6",0.15,218.516349438751,243.331506849315,0.0252054794520548,0.738083618025053,244
"7",0,157.647632991703,248,0,1,248
"8",0.03,185.021636570685,248,0.016986301369863,0.971530828046201,248
"9",0.06,202.551488530991,247.796164383562,0.023013698630137,0.915243208068977,248
"10",0.09,212.274605498617,247.524383561644,0.0252054794520548,0.850658857979502,248
"11",0.12,217.620302586628,247.456438356164,0.0263013698630137,0.800553115340817,248
"12",0.15,221.372376769156,247.592328767123,0.0241095890410959,0.754677078249553,248
"13",0,157.607613469985,252,0,1,252
"14",0.03,188.169838945827,252,0.0115068493150685,0.970392061168049,252
"15",0.06,205.10102489019,251.792876712329,0.0186301369863014,0.919960956564178,252
"16",0.09,214.304538799414,251.240547945205,0.0241095890410959,0.854888563526924,252
"17",0.12,221.99121522694,251.585753424658,0.0252054794520548,0.798438262567106,252
"18",0.15,224.143484626647,250.826301369863,0.0317808219178082,0.75142345859769,252
"19",0,157.360663738409,256,0,1,256
"20",0.03,188.553766064747,256,0.0241095890410959,0.971693509028795,256
"21",0.06,207.190499430617,255.719452054795,0.0252054794520548,0.925329428989751,256
"22",0.09,216.810802017244,255.579178082192,0.0180821917808219,0.863998698552139,256
"23",0.12,221.995770294453,255.228493150685,0.0279452054794521,0.815357084756792,256
"24",0.15,226.868391085082,255.298630136986,0.0268493150684932,0.767854237839596,256
"25",0,159.438750610054,260,0,0.999837319017407,260
"26",0.03,189.194729136164,259.857534246575,0.0235616438356164,0.977550024402147,260
"27",0.06,209.391573125102,259.715068493151,0.0241095890410959,0.923051895233447,260
"28",0.09,219.225638522857,259.145205479452,0.0279452054794521,0.866276232308443,260
"29",0.12,225.358711566618,259.643835616438,0.0273972602739726,0.812754189035302,260
"30",0.15,229.884496502359,259.358904109589,0.0246575342465753,0.772083943387018,260
"31",0,159.636896046852,264,0,1,264
"32",0.03,191.761835041484,264,0.0136986301369863,0.974296404750285,264
"33",0.06,211.582235236701,263.493698630137,0.0197260273972603,0.927281600780869,264
"34",0.09,220.708638360176,263.56602739726,0.0158904109589041,0.876037091264031,264
"35",0.12,227.709126403123,263.34904109589,0.0306849315068493,0.815682446721978,264
"36",0.15,232.497803806735,263.56602739726,0.029041095890411,0.780380673499268,264
"37",0,160.725882544331,268,0,1,268
"38",0.03,191.44102814381,267.926575342466,0.0153424657534247,0.981129006019196,268
"39",0.06,211.234748657882,267.559452054795,0.0186301369863014,0.939157312510168,268
"40",0.09,224.597689930047,267.265753424658,0.0241095890410959,0.880266796811453,268
"41",0.12,229.785911826907,267.412602739726,0.0257534246575342,0.831462502033512,268
"42",0.15,235.104929233773,267.192328767123,0.0263013698630137,0.786237188872621,268
"43",0,161.22205954124,272,0,1,272
"44",0.03,193.988612331218,272,0.0202739726027397,0.981942410932162,272
"45",0.06,215.670733691232,271.701917808219,0.023013698630137,0.940621441353506,272
"46",0.09,224.409956076135,271.85095890411,0.016986301369863,0.889702293801855,272
"47",0.12,232.75093541565,271.403835616438,0.0268493150684932,0.831299821050919,272
"48",0.15,237.39710427851,271.403835616438,0.0295890410958904,0.792256385228567,272
"49",0,160.360175695461,276,0,1,276
"50",0.03,195.224987798926,276,0.016986301369863,0.982593134862535,276
"51",0.06,215.160566129819,275.924383561644,0.0158904109589041,0.939319993492761,276
"52",0.09,227.395802830649,275.395068493151,0.0246575342465753,0.894257361314462,276
"53",0.12,234.220595412396,275.01698630137,0.0328767123287671,0.834228078737596,276
"54",0.15,239.922889214251,275.470684931507,0.033972602739726,0.809663250366032,276
"55",0,162.911989588417,280,0,1,280
"56",0.03,196.118431755328,279.923287671233,0.0115068493150685,0.982918496827721,280
"57",0.06,219.599804782821,279.769863013699,0.0175342465753425,0.950056938343908,280
"58",0.09,230.554742150643,279.232876712329,0.0246575342465753,0.896372214088173,280
"59",0.12,237.182365381487,279.386301369863,0.0268493150684932,0.851960305840247,280
"60",0.15,242.648446396616,279.232876712329,0.0284931506849315,0.807060354644542,280
